LineNo,TimeUS,NLon,NLoop,MaxT,Mem,Load,ErrL,IntE,ErrC,SPIC,I2CC,I2CI,Ex
33460,1.6499e+09,260,4001,50814,25392,722,0,0,0,1.8466e+07,1.8507e+05,9.17e+05,450
76909,1.6606e+09,684,4000,3937,31928,648,0,0,0,1.8585e+07,1.8624e+05,9.2289e+05,650
1.2068e+05,1.6714e+09,717,4000,5590,31928,741,0,0,0,1.8705e+07,1.8743e+05,9.2881e+05,500
1.643e+05,1.6822e+09,729,4000,4175,32072,662,0,0,0,1.8825e+07,1.8861e+05,9.3472e+05,750
2.0748e+05,1.6929e+09,726,4000,4010,32072,648,0,0,0,1.8944e+07,1.8979e+05,9.4063e+05,650
2.5071e+05,1.7037e+09,732,4000,4093,32072,676,0,0,0,1.9064e+07,1.9098e+05,9.4654e+05,600
2.94e+05,1.7144e+09,708,4000,3936,32072,700,0,0,0,1.9183e+07,1.9216e+05,9.5245e+05,750
3.3731e+05,1.7251e+09,722,4000,4183,32072,694,0,0,0,1.9303e+07,1.9334e+05,9.5835e+05,550
3.8055e+05,1.7359e+09,709,4000,4080,32072,712,0,0,0,1.9422e+07,1.9452e+05,9.6425e+05,550
4.2385e+05,1.7466e+09,690,4000,4042,32072,656,0,0,0,1.9542e+07,1.9569e+05,9.7013e+05,650
4.6724e+05,1.7572e+09,559,4000,3993,32072,650,0,0,0,1.966e+07,1.9686e+05,9.7597e+05,500
5.1097e+05,1.7677e+09,484,4000,3950,32072,724,0,0,0,1.9777e+07,1.9803e+05,9.8178e+05,250
