LineNo,TimeUS,Temp,Targ,P,I,Out
3634,2.0362e+07,44.97,45,6.0562,0.07686,6.1331
7684,2.1372e+07,44.952,45,9.5444,0.089341,9.6337
11564,2.2377e+07,44.945,45,11.097,0.1053,11.202
15573,2.3386e+07,44.946,45,10.745,0.12107,10.866
19558,2.4392e+07,44.911,45,17.841,0.14176,17.982
23619,2.5398e+07,44.898,45,20.352,0.16869,20.521
27664,2.6404e+07,44.889,45,22.154,0.2028,22.357
31744,2.7416e+07,44.883,45,23.45,0.23742,23.688
35754,2.8426e+07,44.893,45,21.442,0.27569,21.717
39791,2.9435e+07,44.911,45,17.841,0.3043,18.145
43851,3.0447e+07,44.94,45,12.086,0.32823,12.414
47894,3.1457e+07,44.939,45,12.109,0.34445,12.454
51922,3.2467e+07,44.955,45,9.0157,0.35914,9.3748
55969,3.3476e+07,44.99,45,2.0546,0.36932,2.4239
59983,3.4486e+07,44.974,45,5.2063,0.37406,5.5804
64009,3.5492e+07,44.947,45,10.519,0.3864,10.906
67970,3.6504e+07,44.905,45,18.926,0.41156,19.338
71987,3.7517e+07,44.883,45,23.381,0.44016,23.821
76008,3.8528e+07,44.872,45,25.514,0.47929,25.994
80035,3.9536e+07,44.958,45,8.4747,0.50522,8.9799
84060,4.0544e+07,45.017,45,-3.4256,0.50806,0
88023,4.155e+07,45.041,45,-8.226,0.49903,0
92013,4.2559e+07,45.062,45,-12.438,0.48209,0
95997,4.3565e+07,45.072,45,-14.315,0.46169,0
99980,4.4571e+07,45.074,45,-14.853,0.4397,0
1.0398e+05,4.5581e+07,45.093,45,-18.593,0.41515,0
1.0795e+05,4.6588e+07,45.082,45,-16.422,0.3879,0
1.1195e+05,4.7597e+07,45.076,45,-15.275,0.36531,0
1.1991e+05,1.0877e+08,44.98,45,4.0283,0.030401,4.0587
1.2434e+05,1.0978e+08,44.983,45,3.3127,0.035233,3.3479
1.2862e+05,1.1079e+08,44.976,45,4.8393,0.041084,4.8804
1.3301e+05,1.118e+08,44.972,45,5.5878,0.049257,5.637
1.3738e+05,1.1281e+08,44.978,45,4.3564,0.056345,4.4127
1.4155e+05,1.1382e+08,44.969,45,6.2256,0.065129,6.2907
1.4558e+05,1.1484e+08,44.971,45,5.8136,0.074479,5.8881
1.4956e+05,1.1584e+08,44.959,45,8.1291,0.084057,8.2132
1.5353e+05,1.1685e+08,44.955,45,8.9691,0.0972,9.0663
1.5755e+05,1.1786e+08,44.967,45,6.6864,0.10827,6.7947
1.6155e+05,1.1887e+08,44.953,45,9.4498,0.12086,9.5706
1.6556e+05,1.1988e+08,44.956,45,8.7097,0.13547,8.8452
1.6952e+05,1.2088e+08,44.964,45,7.2739,0.1481,7.422
1.7356e+05,1.219e+08,44.963,45,7.3212,0.15819,7.4794
1.7761e+05,1.2291e+08,44.955,45,8.979,0.16934,9.1484
1.8163e+05,1.2392e+08,44.96,45,8.0208,0.18362,8.2044
1.8566e+05,1.2492e+08,44.95,45,9.935,0.19561,10.131
1.8968e+05,1.2593e+08,44.95,45,10.053,0.20951,10.263
1.936e+05,1.2694e+08,44.951,45,9.8656,0.22414,10.09
1.9762e+05,1.2795e+08,44.958,45,8.3641,0.23841,8.6025
1.9932e+05,1.7409e+08,44.886,45,22.868,1.3966,24.265
2.0366e+05,1.751e+08,44.875,45,24.988,1.434,26.422
2.0809e+05,1.7611e+08,44.889,45,22.137,1.4723,23.609
2.1235e+05,1.7712e+08,44.912,45,17.688,1.5019,19.19
2.1675e+05,1.7813e+08,44.912,45,17.677,1.5288,19.206
2.2114e+05,1.7914e+08,44.894,45,21.252,1.5592,22.812
2.255e+05,1.8014e+08,44.92,45,15.925,1.5874,17.512
2.2982e+05,1.8115e+08,44.94,45,12.007,1.6076,13.615
2.341e+05,1.8216e+08,44.941,45,11.7,1.6248,13.325
2.3848e+05,1.8316e+08,44.91,45,18.026,1.6502,19.676
2.4279e+05,1.8417e+08,44.889,45,22.138,1.6839,23.822
2.4704e+05,1.8518e+08,44.86,45,28.025,1.7232,29.748
2.5127e+05,1.8618e+08,44.86,45,27.902,1.7665,29.669
2.5554e+05,1.8719e+08,44.863,45,27.494,1.8072,29.301
2.5986e+05,1.882e+08,44.879,45,24.183,1.8471,26.03
2.6421e+05,1.8921e+08,44.901,45,19.866,1.8785,21.745
2.686e+05,1.9022e+08,44.908,45,18.446,1.9086,20.354
2.7272e+05,1.9123e+08,44.951,45,9.7984,1.9302,11.729
2.7703e+05,1.9223e+08,44.953,45,9.3323,1.9439,11.276
2.8125e+05,1.9324e+08,44.964,45,7.132,1.9572,9.0891
2.855e+05,1.9425e+08,44.962,45,7.5317,1.9659,9.4976
2.8967e+05,1.9526e+08,44.903,45,19.493,1.9848,21.478
2.9391e+05,1.9627e+08,44.858,45,28.431,2.0209,30.452
2.9803e+05,1.9728e+08,44.834,45,33.102,2.0675,35.169
3.021e+05,1.9829e+08,44.851,45,29.726,2.1154,31.842
3.0618e+05,1.993e+08,44.805,45,38.956,2.1675,41.124
3.103e+05,2.0031e+08,44.774,45,45.147,2.2368,47.384
3.1437e+05,2.0132e+08,44.838,45,32.459,2.296,34.754
3.1851e+05,2.0233e+08,44.865,45,26.978,2.3426,29.32
3.2258e+05,2.0334e+08,44.84,45,32.069,2.3883,34.458
3.2669e+05,2.0435e+08,44.83,45,34.052,2.4387,36.491
3.3433e+05,2.0637e+08,44.908,45,18.41,2.5096,20.92
3.384e+05,2.0737e+08,44.771,45,45.851,2.5591,48.41
3.4246e+05,2.0839e+08,44.689,45,62.256,2.6437,64.9
3.4658e+05,2.0939e+08,44.644,45,71.172,2.7473,73.92
3.507e+05,2.104e+08,44.622,45,75.565,2.8654,78.43
3.5482e+05,2.1141e+08,44.672,45,65.528,2.9646,68.493
3.5893e+05,2.1242e+08,44.785,45,42.944,3.0481,45.992
3.6301e+05,2.1343e+08,44.917,45,16.524,3.0886,19.612
3.6714e+05,2.1445e+08,44.969,45,6.1806,3.0998,9.2804
3.7129e+05,2.1546e+08,44.991,45,1.7212,3.1095,4.8307
3.7537e+05,2.1646e+08,45.006,45,-1.1513,3.1089,1.9577
3.7952e+05,2.1747e+08,44.928,45,14.405,3.1151,17.52
3.8366e+05,2.1848e+08,44.776,45,44.762,3.1648,47.926
3.8779e+05,2.1949e+08,44.701,45,59.883,3.2444,63.127
3.919e+05,2.205e+08,44.77,45,46.039,3.3252,49.364
3.9598e+05,2.2151e+08,44.851,45,29.819,3.385,33.204
3.9964e+05,2.2252e+08,44.819,45,36.222,3.4296,39.652
4.0378e+05,2.2353e+08,44.772,45,45.597,3.4957,49.093
4.0794e+05,2.2454e+08,44.788,45,42.378,3.5627,45.941
4.1201e+05,2.2554e+08,44.803,45,39.365,3.6244,42.989
4.1604e+05,2.2655e+08,44.775,45,44.968,3.6858,48.654
4.2019e+05,2.2756e+08,44.769,45,46.243,3.7586,50.002
4.2426e+05,2.2856e+08,44.766,45,46.802,3.829,50.631
4.2815e+05,2.2957e+08,44.762,45,47.562,3.9057,51.467
4.3225e+05,2.3058e+08,44.837,45,32.626,3.9676,36.594
4.3634e+05,2.3159e+08,44.821,45,35.712,4.0152,39.728
4.404e+05,2.326e+08,44.712,45,57.59,4.0845,61.674
4.445e+05,2.3361e+08,44.652,45,69.599,4.1792,73.778
4.4865e+05,2.3462e+08,44.572,45,85.595,4.299,89.894
4.5271e+05,2.3563e+08,44.741,45,51.703,4.405,56.108
4.5684e+05,2.3663e+08,44.802,45,39.687,4.4745,44.162
4.6095e+05,2.3764e+08,44.872,45,25.671,4.5136,30.184
4.65e+05,2.3865e+08,44.661,45,67.748,4.5899,72.338
4.6915e+05,2.3966e+08,44.524,45,95.23,4.7145,99.945
4.7322e+05,2.4066e+08,44.528,45,94.377,4.8629,99.24
4.7726e+05,2.4167e+08,44.542,45,91.65,4.9997,96.649
4.8137e+05,2.4268e+08,44.524,45,95.149,5.1488,100
4.8551e+05,2.4369e+08,44.529,45,94.175,5.2893,99.464
4.8959e+05,2.4471e+08,44.452,45,109.66,5.4486,100
4.9371e+05,2.4571e+08,44.421,45,115.81,5.6204,100
4.9777e+05,2.4672e+08,44.46,45,107.93,5.7914,100
5.0185e+05,2.4773e+08,44.582,45,83.69,5.9347,89.625
5.0595e+05,2.4873e+08,44.702,45,59.519,6.0437,65.563
5.0998e+05,2.4974e+08,44.878,45,24.341,6.1041,30.445
5.1409e+05,2.5075e+08,44.988,45,2.4704,6.1209,8.5913
5.1816e+05,2.5176e+08,45.028,45,-5.5817,6.1164,0.53473
5.2226e+05,2.5276e+08,45.035,45,-6.9832,6.1066,0
5.2634e+05,2.5377e+08,45.002,45,-0.44403,6.1022,5.6581
5.3042e+05,2.5478e+08,44.98,45,4.0749,6.1078,10.183
5.3456e+05,2.558e+08,44.987,45,2.578,6.1116,8.6896
5.3866e+05,2.568e+08,44.959,45,8.2397,6.1217,14.361
5.4276e+05,2.5781e+08,44.956,45,8.8638,6.1357,15
5.469e+05,2.5882e+08,44.988,45,2.491,6.1425,8.6335
5.5097e+05,2.5983e+08,44.961,45,7.7652,6.1474,13.913
5.5509e+05,2.6084e+08,44.885,45,23.023,6.1753,29.199
5.5913e+05,2.6185e+08,44.88,45,24.094,6.2065,30.301
5.6324e+05,2.6286e+08,44.923,45,15.426,6.2384,21.664
5.6736e+05,2.6387e+08,44.958,45,8.4938,6.2553,14.749
5.7109e+05,2.6487e+08,44.968,45,6.4453,6.2647,12.71
5.7521e+05,2.6588e+08,44.782,45,43.545,6.3153,49.86
5.7927e+05,2.6689e+08,44.798,45,40.395,6.3862,46.782
5.8335e+05,2.679e+08,44.88,45,23.956,6.4297,30.385
5.8744e+05,2.6891e+08,44.953,45,9.4925,6.4522,15.945
5.9148e+05,2.6992e+08,44.987,45,2.5635,6.4607,9.0242
5.956e+05,2.7093e+08,45.006,45,-1.2016,6.4623,5.2606
5.9965e+05,2.7194e+08,45.009,45,-1.7036,6.4601,4.7564
6.0379e+05,2.7295e+08,45.002,45,-0.31509,6.4584,6.1433
6.079e+05,2.7396e+08,45.016,45,-3.1303,6.4546,3.3242
6.1198e+05,2.7497e+08,44.945,45,11.037,6.4585,17.496
6.1607e+05,2.7598e+08,44.919,45,16.176,6.4769,22.653
6.2021e+05,2.7699e+08,44.728,45,54.301,6.5233,60.824
6.2432e+05,2.78e+08,44.457,45,108.62,6.6545,100
6.2843e+05,2.7901e+08,44.295,45,141.01,6.848,100
6.3254e+05,2.8002e+08,44.337,45,132.56,7.0596,100
6.3665e+05,2.8103e+08,44.304,45,139.25,7.254,100
6.4072e+05,2.8204e+08,44.353,45,129.49,7.4738,100
6.448e+05,2.8306e+08,44.546,45,90.785,7.6394,98.425
6.489e+05,2.8407e+08,44.738,45,52.437,7.7436,60.18
6.5301e+05,2.8508e+08,44.851,45,29.816,7.8018,37.618
6.5716e+05,2.8609e+08,44.945,45,11.014,7.8294,18.843
6.6132e+05,2.871e+08,44.967,45,6.633,7.8404,14.473
6.6553e+05,2.8811e+08,44.98,45,4.0428,7.8489,11.892
6.6976e+05,2.8911e+08,44.945,45,10.931,7.8593,18.79
6.74e+05,2.9012e+08,44.939,45,12.173,7.8776,20.05
6.7825e+05,2.9113e+08,44.942,45,11.574,7.8973,19.471
6.825e+05,2.9214e+08,44.932,45,13.571,7.9163,21.487
6.8679e+05,2.9316e+08,44.909,45,18.221,7.9426,26.164
6.9106e+05,2.9417e+08,44.882,45,23.586,7.9714,31.557
6.9531e+05,2.9518e+08,44.854,45,29.115,8.0107,37.126
6.9959e+05,2.9619e+08,44.801,45,39.809,8.0615,47.87
7.0386e+05,2.972e+08,44.84,45,32.008,8.1177,40.126
7.081e+05,2.9821e+08,44.844,45,31.14,8.1653,39.305
7.1238e+05,2.9922e+08,44.968,45,6.44,8.1917,14.632
7.1664e+05,3.0023e+08,44.989,45,2.2934,8.1973,10.491
7.2089e+05,3.0124e+08,45.022,45,-4.3198,8.1934,3.8736
7.2514e+05,3.0225e+08,45.044,45,-8.7997,8.184,0
7.294e+05,3.0326e+08,45.023,45,-4.6844,8.1727,3.4882
