LineNo,TimeUS,Id,Label
1292,1.9791e+07,45,0
1293,1.9791e+07,63,0
1294,1.9791e+07,65,0
1295,1.9791e+07,97,0
1296,1.9791e+07,100,0
1297,1.9791e+07,98,0
1298,1.9791e+07,107,0
1299,1.9791e+07,68,0
1300,1.9791e+07,101,0
1301,1.9791e+07,69,0
1302,1.9791e+07,71,0
1303,1.9791e+07,104,0
1304,1.9791e+07,105,0
1308,1.9805e+07,74,0
1309,1.9805e+07,76,0
1310,1.9805e+07,109,0
1311,1.9805e+07,110,0
1312,1.9805e+07,111,0
1313,1.9805e+07,79,0
1314,1.9805e+07,37,0
1315,1.9805e+07,83,0
1316,1.9805e+07,115,0
1317,1.9805e+07,113,0
1318,1.9806e+07,114,0
1319,1.9806e+07,85,0
1320,1.9806e+07,117,0
1321,1.9806e+07,118,0
1322,1.9806e+07,80,0
1323,1.9806e+07,119,0
1324,1.9806e+07,87,0
1325,1.9806e+07,88,0
1326,1.9806e+07,89,0
1327,1.9806e+07,122,0
1328,1.9806e+07,35,0
