LineNo,TimeUS,C,Cnt,IMUMin,IMUMax,EKFMin,EKFMax,AngMin,AngMax,VMin,VMax
3740,2.0386e+07,0,391,0.0025,0.0025,0.0124,0.013555,0.010988,0.03499,0.0099884,0.034989
23593,2.5388e+07,0,405,0.0025,0.0025,0.012206,0.012848,0.010987,0.014985,0.0099892,0.014984
43654,3.0397e+07,0,402,0.0025,0.0025,0.012298,0.012606,0.010987,0.017979,0.0099879,0.017978
63660,3.5406e+07,0,404,0.0025,0.0025,0.012297,0.012669,0.010988,0.015982,0.009989,0.015982
83548,4.0416e+07,0,405,0.0025,0.0025,0.012235,0.012526,0.010988,0.014984,0.009989,0.014984
1.0334e+05,4.5419e+07,0,403,0.0025,0.0025,0.012305,0.012596,0.010988,0.01798,0.009989,0.01798
1.2741e+05,1.1048e+08,0,401,0.0025,0.0025,0.012279,0.012764,0.010988,0.01798,0.0099891,0.016981
1.4817e+05,1.1549e+08,0,401,0.0025,0.0025,0.012286,0.012694,0.010988,0.015982,0.009989,0.015982
1.6797e+05,1.2049e+08,0,405,0.0025,0.0025,0.012199,0.012605,0.010988,0.020977,0.009989,0.019978
1.8796e+05,1.255e+08,0,405,0.0025,0.0025,0.01217,0.012569,0.010988,0.01798,0.009989,0.01798
2.0572e+05,1.7557e+08,0,396,0.0025,0.0025,0.012353,0.013024,0.010988,0.019978,0.009989,0.019978
2.2738e+05,1.8058e+08,0,405,0.0025,0.0025,0.01213,0.012683,0.010988,0.01798,0.009989,0.01798
2.4875e+05,1.8559e+08,0,408,0.0025,0.0025,0.011947,0.012489,0.010988,0.016982,0.009989,0.01798
2.6998e+05,1.9059e+08,0,411,0.0025,0.0025,0.011884,0.012408,0.010988,0.016981,0.009989,0.016981
2.911e+05,1.956e+08,0,412,0.0025,0.0025,0.011796,0.01259,0.010988,0.01798,0.0099889,0.01798
3.1149e+05,2.006e+08,0,412,0.0025,0.0025,0.011902,0.01246,0.010988,0.016981,0.009989,0.016981
3.3126e+05,2.0561e+08,0,411,0.0025,0.0025,0.011862,0.0124,0.010988,0.01798,0.0099889,0.01798
3.5157e+05,2.1061e+08,0,414,0.0025,0.0025,0.011897,0.012355,0.010988,0.016981,0.009989,0.016981
3.7199e+05,2.1562e+08,0,413,0.0025,0.0025,0.011865,0.012371,0.010988,0.018979,0.0099891,0.01798
3.9242e+05,2.2063e+08,0,410,0.0025,0.0025,0.011946,0.012685,0.010988,0.01798,0.009989,0.01798
4.1236e+05,2.2563e+08,0,407,0.0025,0.0025,0.01201,0.012473,0.010988,0.01798,0.0099889,0.01798
4.3251e+05,2.3064e+08,0,409,0.0025,0.0025,0.012047,0.012656,0.010988,0.020977,0.009989,0.020977
4.5277e+05,2.3564e+08,0,409,0.0025,0.0025,0.011962,0.01245,0.010988,0.01798,0.0099889,0.01798
4.7316e+05,2.4065e+08,0,411,0.0025,0.0025,0.011914,0.012575,0.010988,0.01798,0.0099889,0.01798
4.9346e+05,2.4565e+08,0,411,0.0025,0.0025,0.011985,0.012378,0.010988,0.01798,0.0099889,0.01798
5.1375e+05,2.5067e+08,0,412,0.0025,0.0025,0.011888,0.012494,0.010988,0.01798,0.009989,0.01798
5.3404e+05,2.5567e+08,0,409,0.0025,0.0025,0.011882,0.012583,0.010988,0.020977,0.009989,0.020977
5.544e+05,2.6068e+08,0,413,0.0025,0.0025,0.011956,0.012588,0.010988,0.016981,0.009989,0.016981
5.7442e+05,2.6569e+08,0,408,0.0025,0.0025,0.012055,0.012486,0.010988,0.01798,0.0099889,0.01798
5.9464e+05,2.7069e+08,0,409,0.0025,0.0025,0.012013,0.012575,0.010988,0.016981,0.009989,0.016981
6.1488e+05,2.7569e+08,0,409,0.0025,0.0025,0.012027,0.012442,0.010988,0.01798,0.0099889,0.01798
6.3528e+05,2.807e+08,0,412,0.0025,0.0025,0.011917,0.012405,0.010988,0.01798,0.009989,0.01798
6.5557e+05,2.857e+08,0,410,0.0025,0.0025,0.011911,0.012536,0.010988,0.020977,0.0099889,0.020977
6.7647e+05,2.9071e+08,0,408,0.0025,0.0025,0.012051,0.012474,0.010988,0.016981,0.009989,0.016981
6.976e+05,2.9572e+08,0,414,0.0025,0.0025,0.011912,0.012252,0.010988,0.01798,0.0099889,0.01798
7.1873e+05,3.0073e+08,0,414,0.0025,0.0025,0.011949,0.012308,0.010988,0.018979,0.009989,0.018979
