LineNo,TimeUS,Instance,noisePerMS,jamInd,aPower,agcCnt,config
21224,2.0312e+07,0,113,16,1,1560,2536
42271,2.5314e+07,0,112,10,1,1560,8
63152,3.0305e+07,0,106,13,1,1560,0
84032,3.5306e+07,0,107,10,1,1560,0
1.0488e+05,4.0304e+07,0,107,16,1,1560,0
1.2579e+05,4.5312e+07,0,107,15,1,1560,0
1.4646e+05,5.0305e+07,0,108,12,1,1560,0
1.6731e+05,5.5306e+07,0,108,10,1,1560,0
1.8824e+05,6.0302e+07,0,108,18,1,1560,0
2.0899e+05,6.5301e+07,0,108,16,1,1560,0
2.3e+05,7.0315e+07,0,109,15,1,1560,0
2.5122e+05,7.5313e+07,0,109,8,1,1560,0
2.726e+05,8.0304e+07,0,109,10,1,1404,0
2.9402e+05,8.5319e+07,0,109,16,1,1560,0
